service,embedding
DeviceCensus,"[array([ 0.01467299,  0.03885665,  0.03245608,  0.07186101,  0.00025019,
       -0.05153599, -0.03536611, -0.00801938,  0.00911652,  0.0127    ,
        0.05570659,  0.00844943, -0.0066781 ,  0.02516416, -0.05214357,
       -0.02105492,  0.04603418, -0.02485135,  0.00816651, -0.00619499,
       -0.04160069,  0.0065258 ,  0.01126037,  0.00130843,  0.04296779,
        0.03857774, -0.02488549,  0.01756448, -0.00398   , -0.02472375,
        0.01000913,  0.00673305,  0.01854981, -0.06843511,  0.04548247,
       -0.03602521, -0.05184802,  0.02951668,  0.0261115 ,  0.01722564,
       -0.0622779 , -0.05027756, -0.00834602, -0.00137312, -0.0472082 ,
       -0.0042161 ,  0.05332863,  0.01392577,  0.01699937,  0.04443968,
        0.06467596, -0.04393029,  0.02975652,  0.02620569,  0.01010303,
       -0.01755356,  0.04527202, -0.04743364, -0.06813274,  0.05901176,
       -0.0731019 , -0.00950318,  0.03887587,  0.06318393,  0.05835259,
        0.04902959,  0.04751216,  0.01954242, -0.03009865,  0.01708555,
        0.00666444, -0.03605636,  0.05783881,  0.03855487, -0.01042712,
       -0.03915071, -0.0458667 ,  0.03853964, -0.06470542, -0.03294157,
        0.00231366, -0.00183038,  0.00658042,  0.04597441, -0.00469313,
       -0.03702072, -0.02413771, -0.04106823, -0.01924844,  0.00053238,
       -0.01014189, -0.03288762, -0.07667349, -0.00747315,  0.08818759,
        0.07777027,  0.0286327 ,  0.03798216,  0.04163027, -0.02388089,
       -0.02340079,  0.01994337, -0.0155061 ,  0.04796404, -0.03839225,
        0.02743059,  0.03187336,  0.02569927, -0.03437418,  0.02360259,
       -0.0205048 , -0.00033194, -0.02116003, -0.01387975,  0.0346093 ,
        0.00136806, -0.01567592, -0.01478977,  0.03169212, -0.02234516,
        0.00779271, -0.00901117,  0.0031151 ,  0.00142323, -0.02275821,
        0.04974504, -0.03174713, -0.01589045, -0.00454007, -0.02901036,
       -0.0361824 , -0.03862726, -0.00606644,  0.03481057,  0.05454179,
        0.01454477,  0.03381057,  0.00834277, -0.01788806, -0.03666002,
        0.06204411, -0.01538062, -0.0467183 , -0.07860269,  0.01413617,
       -0.04229929, -0.03452453, -0.01462246, -0.01061075,  0.01768662,
       -0.00598021, -0.01676585, -0.06866899, -0.05415513,  0.04550017,
        0.01811111,  0.00448513,  0.03725792, -0.01823513, -0.01534617,
       -0.01421827, -0.03952571, -0.03758065,  0.05397947, -0.01815369,
       -0.00636797, -0.00075496, -0.01934731,  0.00909089,  0.02365877,
       -0.00078135, -0.00239793, -0.05123357,  0.01534769, -0.0035313 ,
        0.00751898,  0.05886553, -0.04117434, -0.00134424, -0.02594   ,
       -0.02257786,  0.05997454,  0.00187996, -0.02073352, -0.02600502,
       -0.02749147,  0.01383071, -0.02037021, -0.05274334,  0.00685541,
        0.00258592, -0.02238945, -0.00053424,  0.01093708, -0.01455995,
       -0.050569  , -0.00435608,  0.010234  , -0.01266197,  0.02693753,
       -0.03863196, -0.01029126, -0.00583487,  0.02483266,  0.00418304,
       -0.00861123,  0.06344145,  0.03935166, -0.01185013,  0.01118177,
       -0.03108508,  0.00018564,  0.05754664, -0.00660689,  0.01295937,
        0.00277264, -0.01389776,  0.02057733, -0.02282619, -0.0141104 ,
       -0.04909619,  0.03633931,  0.03214259,  0.02211743,  0.01837445,
       -0.01380943, -0.00286178, -0.00650572,  0.02118192,  0.00871711,
        0.00494515, -0.02016867, -0.01128349, -0.03165932, -0.03144608,
        0.03176456, -0.00404458,  0.03053555,  0.00574345, -0.00555376,
        0.0041457 , -0.04402815,  0.02247485, -0.03786862,  0.0083152 ,
       -0.00760762, -0.03678287,  0.03319929, -0.01345246, -0.01277645,
       -0.00134559, -0.04557348,  0.02720222, -0.02320575,  0.00116803,
       -0.02919892, -0.00084567,  0.05332724, -0.01783569, -0.03464828,
       -0.03343118, -0.04346864, -0.0400045 , -0.06372245, -0.00899389,
        0.01350313, -0.07590203,  0.01770617,  0.01774887,  0.01537971,
       -0.01757775,  0.04642069, -0.02410185,  0.03241773, -0.0245169 ,
       -0.0336898 , -0.04452043, -0.08596038, -0.07577225,  0.06957304,
        0.00354621,  0.0345869 ,  0.06158243, -0.0044657 ,  0.00152854,
       -0.02031911,  0.02438057, -0.01078357,  0.02193297,  0.09022039,
        0.03533797, -0.00103797,  0.03167919, -0.01655399,  0.01651002,
       -0.01342227,  0.04297802,  0.0372096 , -0.00273412, -0.02361508])]"
sc,"[array([-0.24749905, -0.03004508,  0.10982917, -0.11032298, -0.23077738,
        0.04358385,  0.08187625,  0.12730083,  0.14597362, -0.1106429 ,
        0.3335947 , -0.5939724 , -0.73628235,  0.32424846,  0.41323432,
        0.10015656,  0.25512046,  0.24133494,  0.49072778, -0.0112759 ,
       -0.26993406,  0.18006569,  0.18723407, -0.2994626 ,  0.00299243,
        0.469858  , -0.32601365,  0.46893275, -0.12532532,  1.5492854 ,
       -0.15784355, -0.05606923, -0.18674988, -0.15551734, -0.23719138,
       -0.14067382, -0.02275692,  0.08928169,  0.15670699, -0.04110743,
       -0.34693283, -0.00672819, -0.03790572, -0.15155658, -0.0899789 ,
       -0.02663154,  0.22877078,  0.18530495,  0.03285993,  0.02291143,
        0.06306062, -0.32059583,  0.41462868,  0.30809474, -0.4171201 ,
       -0.48349223, -0.30912724, -0.08462346,  0.17343616, -0.12717856,
        0.16300072,  0.22739117,  0.8415737 , -0.03574188,  0.20450868,
       -0.42515263,  0.20070592,  0.05861028, -0.5422616 ,  0.33892822,
        0.43225083,  0.05252702,  0.38437387,  0.09813526, -0.10221638,
        0.00971017,  0.19455048,  0.16637506, -0.18223235,  0.10995463,
       -0.00587443, -0.15850048,  0.04973973,  0.30239213,  0.1098659 ,
       -0.17853451, -0.55862355,  0.03559814,  0.1886438 , -0.6027436 ,
       -0.2116967 ,  0.21974997,  0.17798682,  0.02808997, -0.1368125 ,
       -0.26022345, -0.05739953, -0.41371176, -0.0161458 , -0.31709927,
       -0.36655304, -0.13024423, -0.35624704, -0.18106711,  0.00903993,
       -0.04351924,  0.18790849,  0.03734868, -0.19706132,  0.28963912,
        0.09491918, -0.2669625 ,  0.35453928,  0.23167679,  0.15655634,
        0.27551943,  0.11447832, -0.2857836 , -0.28449595,  0.28228518,
        0.23161316, -0.45952147, -0.02217454, -0.14562799, -0.0902485 ,
        0.19775179,  0.06937535,  0.07354692, -0.46570033,  0.03147543,
       -0.16598336, -0.12092043, -0.03292168, -0.1619741 , -0.0210311 ,
       -0.3168951 , -0.03968212, -0.16446921, -0.43978068, -0.3643179 ,
       -0.05650381,  0.0736911 , -0.11765534, -0.311102  , -0.08844779,
       -0.07802846, -0.76294416, -0.04802732, -0.30871874,  0.04732255,
        0.1369279 ,  0.18864483,  0.2965492 , -0.5046039 ,  0.24181864,
       -0.17879814,  0.21372034, -0.06848534,  0.29844147, -0.48565882,
        0.22105911,  0.1413114 ,  0.13828613,  0.11396106,  0.19809689,
        0.4101719 ,  0.5726203 ,  0.24898525, -0.68921787,  0.07186127,
        0.29172787,  0.31310824, -0.54184556, -0.00739887, -0.44337642,
       -0.06608206, -0.36578974,  0.6540069 , -0.21800826,  0.09441013,
        0.08693226, -0.09651822,  0.27633238,  0.17817819,  0.6764502 ,
       -0.13789651,  0.5795884 , -0.08982252, -0.2383811 , -0.18746121,
       -0.02579064, -0.31344658,  0.01068656,  0.12711638, -0.2642867 ,
       -0.07743241,  0.1061106 , -0.10249341,  0.05457108, -0.08950224,
        0.12109357, -0.09461022,  0.0707907 ,  0.10586192,  0.09138727,
       -0.426592  ,  0.02476171,  0.31777233,  0.78338265, -0.24783464,
       -0.04498345,  0.25155324, -0.17201357,  0.3240515 , -0.06731329,
       -0.1896047 , -0.15105452,  0.23505825, -0.39427057, -0.01402837,
        0.05915848, -0.20178993, -0.2674759 , -0.191517  , -0.828702  ,
       -0.03865073,  0.09989882,  0.10374016, -0.28683156,  0.09231457,
        0.22173241,  0.32416603,  0.0073481 ,  0.19622274,  0.47984573,
        0.45628953,  0.2173927 , -0.2121982 , -0.12512285,  0.04203677,
       -0.1299865 ,  0.63992083,  0.57833135, -0.16952658,  0.8937022 ,
       -0.01745534, -0.4575921 ,  0.64657867, -0.28194183,  0.13841167,
        0.60344905,  0.29089493, -0.48033318,  0.02130826, -0.29140666,
       -0.34979412,  0.6155688 ,  0.39273247, -0.10021275,  0.29906854,
        0.27630684,  0.19065231, -0.08611732, -0.3021241 , -0.27663597,
       -0.34960508, -0.07501576, -0.02384485, -0.5674651 ,  0.07820897,
       -0.09013906,  0.38010892,  0.03106671, -0.11719819, -0.31297645,
        0.14188139, -0.12972473,  0.01258175,  0.03229001, -0.33199686,
        0.4072618 ,  0.22578254,  0.03170123,  0.013727  ,  0.11759253,
        0.40563253, -0.42020735, -0.5145577 ,  0.16039588, -0.19985746,
       -0.05925199, -0.11891989, -0.5443193 ,  0.7154329 ,  0.10371558,
        0.143035  , -0.10039097,  0.13603777,  0.34958708, -0.34685427])]"
dwm,"[array([ 0.43874043, -0.13356915, -0.04830185, -0.05638886,  0.36170012,
        0.0834601 , -0.04563629,  0.09956078,  0.42441973,  0.00795189,
       -0.04611542, -0.2860707 , -0.0529241 ,  0.07449424,  0.10491762,
        0.08905929,  0.17044087,  0.5589181 ,  0.2166358 ,  0.0249854 ,
       -0.23510385,  0.0139939 ,  0.26147723, -0.05057427,  0.15779436,
       -0.09779041,  0.03127081,  0.24487066, -0.18989325,  0.91665953,
       -0.11114413,  0.00652448, -0.36584657, -0.04930059, -0.25391874,
        0.0177968 ,  0.09388602,  0.17887467,  0.23476419, -0.10557071,
       -0.43397436,  0.20246401, -0.10526423, -0.4769595 ,  0.06808394,
        0.00992631,  0.4718814 ,  0.07565856, -0.02029688, -0.16736639,
       -0.05528468,  0.21077704,  0.18006483,  0.05043145,  0.00511328,
       -0.22661512, -0.0389441 , -0.08632585, -0.09080175, -0.21721628,
        0.32542822,  0.12443938,  0.06956623, -0.08471115,  0.0090382 ,
       -0.10666919, -0.4196012 , -0.17017813, -0.3795303 ,  0.15739754,
       -0.19416262, -0.29766232,  0.13440338,  0.03969571,  0.14438525,
        0.6175221 ,  0.20659836, -0.07596007,  0.06590895, -0.07834441,
        0.34796205,  0.18203288, -0.34301403,  0.833609  , -0.02530998,
        0.20863526, -0.06470098, -0.03867812,  0.15649024, -0.10584614,
       -0.09701409,  0.08508131,  0.35831323,  0.09537107,  0.00471412,
        0.0933222 ,  0.05853767,  0.4221139 , -0.25849476,  0.2753446 ,
       -0.15687501,  0.25039607,  0.0883899 ,  0.10987389,  0.25237226,
       -0.00166144,  0.20748171, -0.1744599 ,  0.331111  ,  0.0025027 ,
        0.02273211,  0.0451787 , -0.42267686,  0.00979763,  0.0728478 ,
        0.01517159,  0.39414805, -0.6427483 , -0.24935196,  0.1058225 ,
       -0.17765293,  0.20874676, -0.22894149, -0.18771824,  0.07821144,
        0.06761252, -0.07146323,  0.1403154 , -0.11146659, -0.19628954,
        0.02356702, -0.54102516,  0.07399304, -0.16432416,  0.02770593,
        0.05800262,  0.00803105, -0.10750911,  0.26030594,  0.04599828,
        0.10076229, -0.06644867,  0.00491233,  0.19129205, -0.03895587,
       -0.05430999, -0.3618784 ,  0.0696631 ,  0.07565919,  0.39779526,
       -0.00629628, -0.3178348 ,  0.11135983, -0.18114334, -0.23145138,
       -0.08421559,  0.0861557 , -0.00925315, -0.03686829,  0.25288108,
        0.11131646,  0.17489138,  0.03004698, -0.09819385, -0.05718851,
       -0.2192683 , -0.16193761, -0.10907315, -0.17476603, -0.07689306,
       -0.6206578 , -0.2299619 , -0.07478888,  0.2602815 , -0.05102297,
       -0.00992405, -0.08600029,  0.00865503, -0.20412835,  0.19216779,
       -0.07600548,  0.15814948,  0.02999136,  0.03102213, -0.11572969,
        0.38854083,  0.11442667,  0.17580023, -0.11418547,  0.12845984,
       -0.31471542,  0.24260265, -0.08374971,  0.15010728,  0.06898917,
        0.11617624, -0.43871492, -0.02960294,  0.18737811, -0.00663643,
       -0.16094397,  0.11153057,  0.06109586,  0.25703526, -0.07846649,
       -0.21381462,  0.21872492,  0.15299678,  0.2370576 , -0.00908069,
       -0.04721737, -0.08965842,  0.10241809,  0.11926174,  0.13182853,
        0.33336583, -0.01987866,  0.16510579, -0.17568552,  0.04038146,
        0.09315484, -0.17648084, -0.06168108, -0.0427727 ,  0.06073093,
       -0.18304123, -0.16438796,  0.1210992 , -0.16580546,  0.32801414,
        0.37871036,  0.39510843, -0.04817968, -0.07624695,  0.27640882,
        0.10330165, -0.6182168 ,  0.1054257 , -0.10089958,  0.13219857,
       -0.3338385 , -0.01478439, -0.14208105, -0.01931326,  0.22543323,
        0.43054396, -0.02772578, -0.11490287, -0.3518877 , -0.05974048,
        0.21074241,  0.04398687, -0.09455311,  0.04221097, -0.46145064,
        0.11491472,  0.31274992,  0.14092883,  0.1528578 ,  0.10172102,
        0.02412943,  0.16168597, -0.00162336, -0.2693015 ,  0.00423074,
       -0.3140552 , -0.18773997,  0.0355108 , -0.1565364 , -0.02093327,
        0.04929065,  0.30153328, -0.08107536, -0.0999849 , -0.2148883 ,
       -0.06688207, -0.06761452, -0.09464107, -0.064538  , -0.07522763,
       -0.06662478, -0.02976775, -0.03293513,  0.08476157,  0.27005064,
        0.05679196, -0.20209602, -0.29425147, -0.10189886, -0.43666723,
       -0.045191  , -0.3466444 , -0.21407424,  0.14036787, -0.28461286,
       -0.21010596,  0.25436237,  0.3777295 , -0.06253126,  0.04875997])]"
GameBarFTServer,"[array([-1.15430495e-02,  2.44674571e-02, -5.76418824e-03,  4.01460454e-02,
       -3.78983691e-02,  1.00573897e-02, -3.45731042e-02,  5.26077114e-02,
       -1.39848981e-02,  2.07571406e-03,  4.63480614e-02,  6.64882734e-03,
       -1.22817196e-02,  4.34687501e-03, -1.35858329e-02, -3.51475179e-02,
        4.48909178e-02,  2.70134751e-02, -1.82492994e-02,  3.93466838e-02,
       -3.18155177e-02, -9.15342569e-03, -1.98280346e-02, -1.45242829e-02,
        1.02690585e-01,  4.84653637e-02, -3.23240459e-02,  3.00337188e-02,
        1.30674234e-02,  1.83485579e-02,  3.10770702e-02,  1.75712872e-02,
        2.82306760e-03,  1.39803570e-02,  6.40356690e-02,  5.64182736e-03,
       -5.95239140e-02,  7.82978088e-02,  9.85202938e-03,  4.13846672e-02,
       -1.16413515e-02, -8.84871837e-03,  6.71002502e-03,  1.76668447e-02,
        2.63731033e-02,  1.27303032e-02,  2.33989283e-02, -5.61223889e-04,
        4.65971790e-02, -2.65206937e-02, -3.48378625e-03, -5.08468524e-02,
        1.66082904e-02, -3.08224577e-02,  2.77785305e-02,  1.42784452e-03,
        7.50219598e-02, -1.20346639e-02, -1.58227552e-02,  2.11963877e-02,
        1.32017620e-02,  5.06941602e-02,  1.64785907e-02,  5.51402494e-02,
       -7.39012565e-03, -1.25634465e-02,  4.72362153e-02, -9.45027452e-03,
       -9.50776879e-03, -4.20160871e-03,  3.93231474e-02,  3.98866497e-02,
        4.05103751e-02,  2.22465750e-02, -5.44501655e-02, -2.69851815e-02,
       -4.24135942e-03,  3.60326027e-03, -4.54837419e-02,  8.92631616e-03,
       -3.81384580e-03,  1.65895410e-02, -1.22930724e-02,  7.44989589e-02,
       -1.32409995e-02,  4.31290865e-02, -2.44085826e-02, -4.59626168e-02,
        8.43329076e-03,  3.81035805e-02,  3.13401297e-02, -1.13095827e-02,
       -1.91692449e-02, -2.02732347e-02,  3.92653188e-03,  6.68941140e-02,
        5.87683395e-02, -3.73319350e-02, -3.63980196e-02, -1.39513332e-02,
        5.42381546e-03, -3.63966897e-02,  8.21913709e-05,  1.96603965e-02,
       -3.85990217e-02, -3.14989612e-02,  3.98009606e-02,  2.46496443e-02,
       -2.36678682e-02, -4.32144403e-02, -7.94453919e-02, -2.24779584e-02,
        1.91463269e-02, -3.28308865e-02, -1.61192920e-02, -9.08626337e-03,
       -1.28654139e-02,  2.30097994e-02, -1.54138375e-02,  2.63041612e-02,
       -2.13103034e-02,  4.21212725e-02, -7.55956676e-03,  5.76104363e-03,
       -6.63637510e-03,  6.20897748e-02, -1.01254666e-02,  2.58302428e-02,
        6.58606887e-02, -2.97797956e-02, -3.01730614e-02, -3.05689145e-02,
       -1.40642712e-03, -1.02257170e-02,  1.26759829e-02,  4.24573533e-02,
        2.47235596e-02, -3.38253863e-02, -2.07664929e-02,  1.00137927e-02,
        5.44560738e-02, -4.21369225e-02, -2.05257144e-02, -3.08652464e-02,
       -2.67749988e-02, -3.81027609e-02, -9.36984941e-02,  4.02609967e-02,
        4.48684115e-03, -4.60460177e-03,  4.73590568e-03,  4.17977944e-03,
       -4.03012037e-02, -3.29292752e-02, -2.93386937e-03,  1.84964165e-02,
        1.07630752e-02,  9.27271228e-03, -3.37548591e-02,  2.71476600e-02,
       -5.24561591e-02, -3.50588225e-02, -2.18499694e-02,  3.44528370e-02,
        1.19035207e-02, -4.44820039e-02, -1.86113827e-02, -5.30304164e-02,
       -3.09378374e-02,  4.78330217e-02, -1.72162652e-02, -8.18571541e-03,
       -2.21830048e-02, -7.54147628e-03, -2.59181149e-02, -2.13976745e-02,
        2.98801437e-02,  1.44797536e-02, -2.30679079e-03, -2.58245803e-02,
       -3.15774465e-03,  7.50601068e-02, -1.91624463e-02,  4.90893563e-03,
       -3.54797281e-02, -2.78323870e-02,  6.46397797e-03,  2.53508013e-04,
        8.37610848e-03, -3.63559611e-02,  5.21389768e-03, -3.92422862e-02,
       -3.54580246e-02,  1.65757034e-02,  3.42119932e-02,  2.49825679e-02,
        3.02159954e-02,  1.00074690e-02,  3.85157429e-02,  5.27860224e-02,
       -2.17977166e-02,  9.77298710e-04,  2.31610797e-02,  2.44588358e-03,
       -2.84542181e-02, -1.17041096e-02,  8.84761661e-03, -9.61981993e-03,
       -1.37852943e-02, -3.29235978e-02, -2.90276036e-02, -1.79645885e-02,
        5.96725056e-03, -8.67520459e-03, -2.79341284e-02, -1.39087755e-02,
       -1.44031467e-02,  1.44404061e-02,  4.66834158e-02, -2.25408170e-02,
       -6.13891799e-03,  9.22194507e-04,  3.87744978e-02,  4.64447998e-02,
       -2.43970305e-02, -1.20020323e-02,  2.93107666e-02, -5.08173322e-03,
        2.89115850e-02,  2.24950397e-03,  4.11073156e-02,  1.22279422e-02,
       -2.79774908e-02, -3.38258855e-02, -3.80079349e-04, -4.62170877e-03,
       -6.49095979e-03, -3.59218195e-02,  1.77223925e-02,  2.02050107e-03,
       -6.72735739e-03, -4.25518081e-02, -1.15243383e-02, -3.51625644e-02,
        1.86857414e-02,  3.07546221e-02,  1.32640023e-02, -1.35876355e-03,
        2.73409858e-02, -3.34831588e-02,  6.24655336e-02, -4.45529073e-02,
       -4.54331923e-04,  5.56192882e-02, -1.54976286e-02,  3.96140432e-03,
        7.61038205e-03,  5.55228926e-02, -3.41824368e-02, -1.68707073e-02,
       -3.50498371e-02, -4.99496460e-02, -1.12700976e-01, -3.15098315e-02,
       -4.82835360e-02, -2.25515198e-02, -1.82265062e-02, -4.47064592e-03,
        1.86599288e-02,  2.27270890e-02, -1.43683814e-02,  8.32313895e-02,
       -7.54432529e-02, -1.97200221e-03, -1.37264244e-02, -2.16226727e-02,
        2.17062235e-02, -5.22675626e-02, -2.36639343e-02,  4.11720797e-02,
        2.56991815e-02, -3.74892019e-02,  2.53900606e-03,  4.38058488e-02,
        2.81187128e-02, -7.67245842e-03,  3.48733105e-02, -7.09081814e-02,
       -2.26172972e-02,  2.14791726e-02,  1.25774858e-03, -1.94381382e-02,
       -4.03679609e-02, -1.60732772e-02,  5.21510877e-02, -1.54639501e-02,
        1.40051576e-04,  2.65686959e-02,  2.53539700e-02, -3.47522758e-02])]"
HxTsr,"[array([-2.61652924e-04,  5.23279980e-03, -1.68410130e-02,  1.32837137e-02,
       -1.12832393e-02,  1.17664393e-02, -2.03761309e-02,  1.93141457e-02,
        2.21109414e-03, -5.27571980e-03,  1.12582068e-03,  1.58213805e-02,
        8.15034844e-03, -6.79861149e-03, -7.19238538e-03, -6.55022170e-03,
        3.82055715e-02, -2.42847018e-05, -1.43318428e-02,  1.57195441e-02,
        1.89775452e-02, -6.31315112e-02,  2.43395418e-02, -3.09073906e-02,
       -3.48728523e-03,  1.27653033e-03, -3.77459638e-02,  6.39626570e-03,
       -1.93550549e-02,  8.54571089e-02, -2.11875550e-02, -1.90177187e-02,
        7.00573844e-04, -4.98976372e-02,  2.88292598e-02,  5.49491588e-03,
       -1.96742336e-03, -1.05722249e-02,  4.01090831e-02,  6.57106042e-02,
       -2.97805108e-02,  3.46599659e-03, -3.09966393e-02, -1.09258760e-03,
       -4.39640395e-02,  6.18732981e-02, -1.13758147e-02,  3.80049422e-02,
       -4.80227917e-02,  2.77729332e-02,  1.02126868e-02, -1.73685583e-03,
        6.94951117e-02,  2.07871757e-02, -1.76580157e-02,  4.55876254e-02,
        2.95616388e-02,  1.25084249e-02, -1.53770167e-02,  1.32569321e-03,
        2.98355520e-02, -3.12920362e-02, -4.40560095e-03,  1.46605801e-02,
        1.10736303e-02,  9.53621324e-03, -1.63548999e-02,  2.10295953e-02,
        6.59655780e-03, -9.48033645e-04,  3.99048813e-02, -1.16991792e-02,
       -5.63454479e-02, -2.27722786e-02, -2.67981794e-02,  9.16005895e-02,
        2.22442159e-03,  7.66068464e-03, -3.43877189e-02, -1.74003222e-03,
       -4.67571020e-02,  2.85778902e-02,  3.04969470e-03,  3.11999209e-02,
       -2.05169749e-02,  2.12523192e-02, -2.79984083e-02, -2.07820665e-02,
       -1.83652283e-03, -5.69896996e-02,  8.40335339e-03,  3.17158028e-02,
       -1.71775389e-02, -8.99746735e-03,  3.22303474e-02,  3.43121812e-02,
       -4.11815792e-02, -4.04766649e-02, -1.16769224e-05, -3.13555636e-03,
        4.32306454e-02, -1.94411874e-02, -9.42521449e-03,  2.37944536e-02,
        1.71797201e-02,  9.95615870e-03,  7.62056187e-03,  3.43011990e-02,
        4.13818425e-03, -4.65859324e-02, -1.24028120e-02,  4.94868234e-02,
       -2.01875772e-02,  2.45881490e-02,  2.37846803e-02,  3.10631394e-02,
        2.16426216e-02, -4.04009819e-02, -4.02265042e-02, -1.19458954e-03,
       -1.03889555e-02,  3.10216509e-02, -7.37583777e-03, -2.14179587e-02,
        1.43998899e-02, -5.18949470e-03, -3.54296938e-02,  5.58310887e-03,
       -5.28874062e-02, -1.51504753e-02, -1.81455500e-02, -1.51203154e-02,
        1.27681661e-02,  1.72625259e-02,  4.64421660e-02, -1.66223794e-02,
       -5.51719069e-02, -2.00450942e-02, -1.03708915e-02, -3.17199156e-03,
        7.68610388e-02,  2.42249593e-02, -3.09930518e-02,  1.20587414e-02,
       -3.78913879e-02,  1.31942695e-02, -3.40465717e-02,  4.08582091e-02,
        1.07385740e-02,  4.89317104e-02,  9.87481093e-04, -1.34310145e-02,
        7.54301623e-03, -1.47115029e-02,  1.97517462e-02, -1.07731167e-02,
       -1.05096035e-01,  1.02699529e-02,  2.30745133e-02, -2.83376575e-02,
        2.28400044e-02, -4.35535377e-03, -2.36841701e-02, -8.17479938e-02,
        3.50433663e-02, -1.96147244e-02,  1.00896349e-02, -1.96198449e-02,
       -2.54266784e-02, -2.44206563e-02,  1.63007714e-02, -3.65546867e-02,
       -2.86637675e-02,  1.01813553e-02, -2.58606076e-02,  1.02842953e-02,
        3.22857238e-02, -4.73730788e-02, -1.94461811e-02, -4.31002602e-02,
       -8.85633845e-03,  3.79701778e-02, -1.68784074e-02, -3.73032945e-03,
        4.89897933e-03, -2.64537841e-04,  1.34181408e-02, -8.92134849e-03,
        4.37130360e-03,  2.53302827e-02, -5.57387155e-03,  2.68116780e-03,
       -7.26333214e-03, -3.74551788e-02,  1.90644227e-02,  4.72698286e-02,
        2.77775154e-02, -2.55430862e-02,  4.13622409e-02,  9.55090672e-03,
       -4.27213237e-02,  1.61036141e-02, -1.19412094e-02,  1.15544833e-02,
       -1.84569210e-02,  1.26071181e-02,  6.31997809e-02,  1.85961239e-02,
       -1.57020595e-02,  1.46735180e-02,  5.87296486e-03, -1.45904198e-02,
        1.54177500e-02,  7.58642796e-03, -1.47580914e-02, -3.59981544e-02,
       -1.71978474e-02,  3.01594045e-02,  1.12452023e-02,  1.11441035e-02,
       -4.30830419e-02, -5.10939024e-02, -1.36584751e-02, -4.51901779e-02,
       -2.71211322e-02,  1.59200020e-02, -2.79770680e-02,  2.46070549e-02,
       -9.43008624e-03,  3.20287496e-02,  3.93574219e-03,  2.68287491e-02,
        5.36759272e-02,  8.77997652e-03,  1.73356123e-02,  4.70452942e-03,
        1.47744734e-03, -1.27486652e-02,  1.07618026e-03,  3.95702850e-03,
        3.02244574e-02, -1.73475966e-02,  2.42425092e-02, -4.85285595e-02,
        1.19109794e-01,  7.97139481e-03, -4.68347967e-02,  5.67569546e-02,
       -3.13291699e-02,  1.20364679e-02,  1.09863803e-01, -1.41987531e-02,
       -4.10069823e-02,  3.95977916e-03,  2.59226114e-02, -6.09357376e-03,
        5.53754196e-02, -1.50289387e-04, -3.34984064e-02, -2.95968167e-02,
       -1.00054890e-02, -5.16540334e-02, -8.02494213e-02,  1.56491362e-02,
       -5.27484622e-03, -2.61891093e-02, -2.86581945e-02, -1.32929906e-02,
       -1.00159999e-02,  5.68738692e-02,  1.86417364e-02,  1.16034811e-02,
       -6.20991662e-02, -1.31212883e-02,  1.45674339e-02, -1.14324186e-02,
        4.15366003e-03, -3.82217988e-02, -6.27273461e-03,  1.14451600e-02,
       -1.88512485e-02, -3.04587744e-02, -3.13860970e-03,  2.53312550e-02,
       -7.13915005e-03,  2.04604864e-02,  1.42725594e-02, -7.49010369e-02,
        4.20666151e-02, -1.71575360e-02,  2.70846840e-02, -2.08201036e-02,
       -9.14764330e-02,  3.07483729e-02, -2.23477222e-02, -3.60492873e-03,
        2.36580963e-03,  6.54150099e-02, -4.30869013e-02, -6.70339074e-03])]"
